order_number,product_key,cust_id,order_date,ship_date,due_date,sales,quantity,price
SO54516,HL_U509_B,20816,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54516,LJ_0192_S,20816,2013-03-16,2013-03-23,2013-03-28,50,1,50
SO54517,CA_1098,28828,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54517,BK_T18Y_50,28828,2013-03-16,2013-03-23,2013-03-28,742,1,742
SO54518,BK_T18U_44,26329,2013-03-16,2013-03-23,2013-03-28,742,1,742
SO54518,BC_R205,26329,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54518,WB_H098,26329,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54518,HY_1023_70,26329,2013-03-16,2013-03-23,2013-03-28,55,1,55
SO54519,BK_M68B_42,11097,2013-03-16,2013-03-23,2013-03-28,2295,1,2295
SO54519,BC_M005,11097,2013-03-16,2013-03-23,2013-03-28,10,1,10
SO54520,BK_T44U_50,25366,2013-03-16,2013-03-23,2013-03-28,1215,1,1215
SO54520,TI_T723,25366,2013-03-16,2013-03-23,2013-03-28,29,1,29
SO54521,BK_R19B_44,21654,2013-03-16,2013-03-23,2013-03-28,540,1,540
SO54521,BC_R205,21654,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54521,WB_H098,21654,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54521,LJ_0192_S,21654,2013-03-16,2013-03-23,2013-03-28,50,1,50
SO54522,BK_R19B_52,29400,2013-03-16,2013-03-23,2013-03-28,540,1,540
SO54522,WB_H098,29400,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54522,BC_R205,29400,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54522,VE_C304_S,29400,2013-03-16,2013-03-23,2013-03-28,64,1,64
SO54523,BK_R64Y_48,27143,2013-03-16,2013-03-23,2013-03-28,1120,1,1120
SO54523,BC_R205,27143,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54523,WB_H098,27143,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54523,HL_U509_R,27143,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54524,BK_T79Y_60,12630,2013-03-16,2013-03-23,2013-03-28,2384,1,2384
SO54524,HL_U509_R,12630,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54525,BK_T79U_46,24105,2013-03-16,2013-03-23,2013-03-28,2384,1,2384
SO54525,HL_U509_B,24105,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54526,BK_M38S_38,11050,2013-03-16,2013-03-23,2013-03-28,769,1,769
SO54526,FE_6654,11050,2013-03-16,2013-03-23,2013-03-28,22,1,22
SO54526,VE_C304_L,11050,2013-03-16,2013-03-23,2013-03-28,64,1,64
SO54527,BK_R64Y_48,23414,2013-03-17,2013-03-24,2013-03-29,1120,1,1120
SO54527,HL_U509_R,23414,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54527,SJ_0194_M,23414,2013-03-17,2013-03-24,2013-03-29,54,1,54
SO54528,BK_M68S_38,12133,2013-03-17,2013-03-24,2013-03-29,2320,1,2320
SO54528,FE_6654,12133,2013-03-17,2013-03-24,2013-03-29,22,1,22
SO54528,BC_M005,12133,2013-03-17,2013-03-24,2013-03-29,10,1,10
SO54528,WB_H098,12133,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54528,HL_U509_R,12133,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54528,LJ_0192_S,12133,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54529,TI_M267,14099,2013-03-17,2013-03-24,2013-03-29,25,1,25
SO54529,PK_7098,14099,2013-03-17,2013-03-24,2013-03-29,2,1,2
SO54530,CA_1098,13181,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54530,RA_H123,13181,2013-03-17,2013-03-24,2013-03-29,120,1,120
SO54531,SH_W890_L,26773,2013-03-17,2013-03-24,2013-03-29,70,1,70
SO54532,TT_R982,13641,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54532,HL_U509_R,13641,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54532,SJ_0194_S,13641,2013-03-17,2013-03-24,2013-03-29,54,1,54
SO54532,GL_H102_L,13641,2013-03-17,2013-03-24,2013-03-29,24,1,24
SO54533,LJ_0192_M,14059,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54533,GL_H102_L,14059,2013-03-17,2013-03-24,2013-03-29,24,1,24
SO54534,TT_R982,13627,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54534,SJ_0194_X,13627,2013-03-17,2013-03-24,2013-03-29,54,1,54
SO54534,CA_1098,13627,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54535,BK_R89B_44,23776,2013-03-17,2013-03-24,2013-03-29,2443,1,2443
SO54535,HL_U509_R,23776,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54536,BK_M38S_40,28904,2013-03-17,2013-03-24,2013-03-29,769,1,769
SO54536,TI_M602,28904,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54537,TT_R982,11180,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54537,HL_U509,11180,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54538,TT_T092,27631,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54538,TI_T723,27631,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54539,TI_R092,27740,2013-03-17,2013-03-24,2013-03-29,21,1,21
SO54539,TT_R982,27740,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54540,TI_R092,27025,2013-03-17,2013-03-24,2013-03-29,21,1,21
SO54540,PK_7098,27025,2013-03-17,2013-03-24,2013-03-29,2,1,2
SO54541,TI_T723,26175,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54541,TT_T092,26175,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54541,HY_1023_70,26175,2013-03-17,2013-03-24,2013-03-29,55,1,55
SO54542,TT_R982,28682,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54542,TI_R628,28682,2013-03-17,2013-03-24,2013-03-29,25,1,25
SO54542,HL_U509,28682,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54543,TI_R982,25152,2013-03-17,2013-03-24,2013-03-29,33,1,33
SO54543,PK_7098,25152,2013-03-17,2013-03-24,2013-03-29,2,1,2
SO54544,TI_R982,24450,2013-03-17,2013-03-24,2013-03-29,33,1,33
SO54544,HL_U509,24450,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54545,GL_H102_S,24314,2013-03-17,2013-03-24,2013-03-29,24,1,24
SO54545,TI_R982,24314,2013-03-17,2013-03-24,2013-03-29,33,1,33
SO54546,TI_M602,23132,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54546,PK_7098,23132,2013-03-17,2013-03-24,2013-03-29,2,1,2
SO54546,CL_9009,23132,2013-03-17,2013-03-24,2013-03-29,8,1,8
SO54546,RA_H123,23132,2013-03-17,2013-03-24,2013-03-29,120,1,120
SO54547,TT_M928,23894,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54547,TI_M602,23894,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54547,HL_U509,23894,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54548,TT_M928,11740,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54548,TI_M602,11740,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54548,PK_7098,11740,2013-03-17,2013-03-24,2013-03-29,2,1,2
SO54549,TI_M602,18554,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54549,TT_M928,18554,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54549,HL_U509_R,18554,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54550,TI_M602,11185,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54550,TT_M928,11185,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54550,HL_U509_R,11185,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54551,BC_M005,23251,2013-03-17,2013-03-24,2013-03-29,10,1,10
SO54551,HL_U509,23251,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54552,BC_M005,13185,2013-03-17,2013-03-24,2013-03-29,10,1,10
SO54552,WB_H098,13185,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54552,HY_1023_70,13185,2013-03-17,2013-03-24,2013-03-29,55,1,55
SO54553,BC_M005,21698,2013-03-17,2013-03-24,2013-03-29,10,1,10
SO54553,WB_H098,21698,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54554,SH_W890_L,19852,2013-03-17,2013-03-24,2013-03-29,70,1,70
SO54555,SH_W890_L,18523,2013-03-17,2013-03-24,2013-03-29,70,1,70
SO54555,LJ_0192_S,18523,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54555,CA_1098,18523,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54556,WB_H098,18552,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54557,WB_H098,18374,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54557,CL_9009,18374,2013-03-17,2013-03-24,2013-03-29,8,1,8
SO54558,WB_H098,17431,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54559,WB_H098,17488,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54560,TT_M928,16044,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54560,VE_C304_S,16044,2013-03-17,2013-03-24,2013-03-29,64,1,64
SO54561,TT_R982,16295,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54561,TI_R628,16295,2013-03-17,2013-03-24,2013-03-29,25,1,25
SO54561,HL_U509,16295,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54561,LJ_0192_S,16295,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54561,GL_H102_M,16295,2013-03-17,2013-03-24,2013-03-29,24,1,24
SO54562,TT_M928,13764,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54562,TI_M823,13764,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54562,HL_U509_R,13764,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54563,TI_R628,14811,2013-03-17,2013-03-24,2013-03-29,25,1,25
SO54563,TT_R982,14811,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54563,CL_9009,14811,2013-03-17,2013-03-24,2013-03-29,8,1,8
SO54564,TI_R092,27001,2013-03-17,2013-03-24,2013-03-29,21,1,21
SO54564,CA_1098,27001,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54565,TI_T723,14535,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54566,TT_T092,27836,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54567,TT_T092,27926,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54568,TT_T092,28423,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54568,TI_T723,28423,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54569,TT_T092,26841,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54569,TI_T723,26841,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54569,CA_1098,26841,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54569,HL_U509,26841,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54570,TI_T723,12568,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54570,TT_T092,12568,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54570,GL_H102_M,12568,2013-03-17,2013-03-24,2013-03-29,24,1,24
SO54571,BK_M18B_44,15860,2013-03-17,2013-03-24,2013-03-29,540,1,540
SO54572,BK_M38S_40,13938,2013-03-17,2013-03-24,2013-03-29,769,1,769
SO54572,TI_M602,13938,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54572,TT_M928,13938,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54572,HL_U509_R,13938,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54572,LJ_0192_S,13938,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54573,BK_M68B_38,12189,2013-03-17,2013-03-24,2013-03-29,2295,1,2295
SO54573,FE_6654,12189,2013-03-17,2013-03-24,2013-03-29,22,1,22
SO54573,HY_1023_70,12189,2013-03-17,2013-03-24,2013-03-29,55,1,55
SO54574,BK_M68S_46,12710,2013-03-17,2013-03-24,2013-03-29,2320,1,2320
SO54574,HL_U509_B,12710,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54575,BK_R79Y_44,18739,2013-03-17,2013-03-24,2013-03-29,1701,1,1701
SO54575,TT_R982,18739,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54575,TI_R628,18739,2013-03-17,2013-03-24,2013-03-29,25,1,25
SO54575,VE_C304_M,18739,2013-03-17,2013-03-24,2013-03-29,64,1,64
SO54576,BK_R19B_48,26774,2013-03-17,2013-03-24,2013-03-29,540,1,540
SO54576,SO_R809_M,26774,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54577,BK_R89B_58,18737,2013-03-17,2013-03-24,2013-03-29,2443,1,2443
SO54578,BK_R89R_58,18747,2013-03-17,2013-03-24,2013-03-29,2443,1,2443
SO54578,BC_R205,18747,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54578,WB_H098,18747,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54578,SJ_0194_S,18747,2013-03-17,2013-03-24,2013-03-29,54,1,54
SO54579,BK_R89B_48,18710,2013-03-17,2013-03-24,2013-03-29,2443,1,2443
SO54579,BC_R205,18710,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54579,WB_H098,18710,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54579,SJ_0194_X,18710,2013-03-17,2013-03-24,2013-03-29,54,1,54
SO54579,CA_1098,18710,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54580,BK_T18Y_44,28841,2013-03-17,2013-03-24,2013-03-29,742,1,742
SO54580,BC_R205,28841,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54580,WB_H098,28841,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54581,BK_T18Y_50,16754,2013-03-17,2013-03-24,2013-03-29,742,1,742
SO54581,BC_R205,16754,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54581,WB_H098,16754,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54582,BK_M68S_46,11906,2013-03-17,2013-03-24,2013-03-29,2320,1,2320
SO54582,FE_6654,11906,2013-03-17,2013-03-24,2013-03-29,22,1,22
SO54582,BC_M005,11906,2013-03-17,2013-03-24,2013-03-29,10,1,10
SO54582,WB_H098,11906,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54582,HL_U509_B,11906,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54583,BK_T79U_50,24734,2013-03-17,2013-03-24,2013-03-29,2384,1,2384
SO54583,WB_H098,24734,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54583,BC_R205,24734,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54583,HL_U509,24734,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54583,LJ_0192_L,24734,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54583,CA_1098,24734,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54584,BK_R19B_52,21903,2013-03-17,2013-03-24,2013-03-29,540,1,540
SO54584,CA_1098,21903,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54585,BK_R89B_44,18495,2013-03-18,2013-03-25,2013-03-30,2443,1,2443
SO54586,BK_R89R_58,18496,2013-03-18,2013-03-25,2013-03-30,2443,1,2443
SO54586,TT_R982,18496,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54586,VE_C304_S,18496,2013-03-18,2013-03-25,2013-03-30,64,1,64
SO54586,TI_R982,18496,2013-03-18,2013-03-25,2013-03-30,33,1,33
SO54587,BK_R64Y_44,16515,2013-03-18,2013-03-25,2013-03-30,1120,1,1120
SO54587,HL_U509_R,16515,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54588,BK_R64Y_42,24889,2013-03-18,2013-03-25,2013-03-30,1120,1,1120
SO54588,TI_R628,24889,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54588,TT_R982,24889,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54588,RA_H123,24889,2013-03-18,2013-03-25,2013-03-30,120,1,120
SO54589,BK_M68B_38,11575,2013-03-18,2013-03-25,2013-03-30,2295,1,2295
SO54590,BK_M68S_38,11564,2013-03-18,2013-03-25,2013-03-30,2320,1,2320
SO54591,TT_M928,22006,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54591,TI_M823,22006,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54591,PK_7098,22006,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54592,TT_M928,21406,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54592,TI_M823,21406,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54592,HL_U509,21406,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54593,BC_M005,11071,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54593,WB_H098,11071,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54594,CL_9009,11114,2013-03-18,2013-03-25,2013-03-30,8,1,8
SO54595,TT_R982,26784,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54595,HL_U509,26784,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54595,LJ_0192_L,26784,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54596,PK_7098,12036,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54597,ST_1401,14312,2013-03-18,2013-03-25,2013-03-30,159,1,159
SO54598,BK_R79Y_42,21103,2013-03-18,2013-03-25,2013-03-30,1701,1,1701
SO54598,WB_H098,21103,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54598,BC_R205,21103,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54598,CA_1098,21103,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54599,BK_R79Y_40,17635,2013-03-18,2013-03-25,2013-03-30,1701,1,1701
SO54599,CA_1098,17635,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54600,BK_M18B_42,14956,2013-03-18,2013-03-25,2013-03-30,540,1,540
SO54600,TI_M267,14956,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54600,PK_7098,14956,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54601,BK_R89B_58,27937,2013-03-18,2013-03-25,2013-03-30,2443,1,2443
SO54601,TI_R982,27937,2013-03-18,2013-03-25,2013-03-30,33,1,33
SO54601,TT_R982,27937,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54601,PK_7098,27937,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54601,ST_1401,27937,2013-03-18,2013-03-25,2013-03-30,159,1,159
SO54602,BK_R89B_52,12323,2013-03-18,2013-03-25,2013-03-30,2443,1,2443
SO54602,BC_R205,12323,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54602,WB_H098,12323,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54602,HL_U509_B,12323,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54602,CA_1098,12323,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54603,BK_M68S_46,11603,2013-03-18,2013-03-25,2013-03-30,2320,1,2320
SO54604,BK_M68S_42,13560,2013-03-18,2013-03-25,2013-03-30,2320,1,2320
SO54604,BC_M005,13560,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54604,WB_H098,13560,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54605,TT_R982,11199,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54605,PK_7098,11199,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54606,CA_1098,28143,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54606,TT_T092,28143,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54607,LJ_0192_M,12064,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54607,GL_H102_S,12064,2013-03-18,2013-03-25,2013-03-30,24,1,24
SO54608,TI_R628,28981,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54608,PK_7098,28981,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54609,TI_R092,19223,2013-03-18,2013-03-25,2013-03-30,21,1,21
SO54610,TT_R982,11502,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54610,TI_R628,11502,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54610,HL_U509,11502,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54610,SJ_0194_S,11502,2013-03-18,2013-03-25,2013-03-30,54,1,54
SO54611,TI_M602,19836,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54611,SO_R809_L,19836,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54612,TT_M928,11824,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54612,TI_M602,11824,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54612,HL_U509,11824,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54613,BC_M005,22009,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54614,TT_M928,19015,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54614,TI_M602,19015,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54614,HL_U509_B,19015,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54614,GL_H102_S,19015,2013-03-18,2013-03-25,2013-03-30,24,1,24
SO54615,TT_M928,22226,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54615,TI_M602,22226,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54616,TI_M602,23051,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54616,TT_M928,23051,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54617,WB_H098,14502,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54617,BC_M005,14502,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54618,BC_M005,14725,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54618,WB_H098,14725,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54618,HY_1023_70,14725,2013-03-18,2013-03-25,2013-03-30,55,1,55
SO54619,SH_W890_S,20308,2013-03-18,2013-03-25,2013-03-30,70,1,70
SO54620,SH_W890_S,20121,2013-03-18,2013-03-25,2013-03-30,70,1,70
SO54621,SH_W890_M,18521,2013-03-18,2013-03-25,2013-03-30,70,1,70
SO54621,LJ_0192_S,18521,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54622,SH_W890_M,18601,2013-03-18,2013-03-25,2013-03-30,70,1,70
SO54623,WB_H098,23798,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54623,HY_1023_70,23798,2013-03-18,2013-03-25,2013-03-30,55,1,55
SO54623,CL_9009,23798,2013-03-18,2013-03-25,2013-03-30,8,1,8
SO54624,WB_H098,16965,2013-03-18,2013-03-25,2013-03-30,5,1,5
